Total Contract Spending Trend,,,,,,,,,,Yearly Spending Trend & Annual Contract Volume,,,,
"Insights: Shows which departments consume the largest share of public funds, helping identify budget concentration.",,,,,,,,,,"Insight: Displays growth or decline in government spending over time and shows contract activity level, ensuring spending trends are not misinterpreted and useful for budget forecasting",,,,
,,,,,,,,,,,,,,
Department,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,,,,,,,Start Date Year,SUM of Award Amount,COUNTA of Purchase Order (Contract) Number,,
HMF COMMUNICATIONS LLC|10594688,"$12,000",,,,,,,,,,,,,
EPIC ART SPACE|10628194,"$12,000",,,,,,,,,,,,,
DAVID WANG|10599251,"$12,000",,,,,,,,,,,,,
CRYSTAL BARNES|10504660,"$12,000",,,,,,,,,,,,,
CRISTOBAL ALDAY|10615738,"$12,000",,,,,,,,,,,,,
CRISTALLE BOWEN|102455013E,"$12,000",,,,,,,,,,,,,
CHICAGO ARTOPIA|10627576,"$12,000",,,,,,,,,,,,,
ANDY ORTMANN|31335879A,"$12,000",,,,,,,,,,,,,
AN TUAN TRAN|105474623H,"$12,000",,,,,,,,,,,,,
KIA SMITH|105463011Z,"$11,500",,,,,,,,,,,,,
ORLANDO A. RUIZ|10599040,"$11,000",,,,,,,,,,,,,
WORKING IN CONCERT|105467810M,"$10,000",,,,,,,,,,,,,
VOICES OF YOUTH ENSEMBLE|10602998,"$10,000",,,,,,,,,,,,,
VIVAN JONES|10624597,"$10,000",,,,,,,,,,,,,
URBAN WARRIORS YOUTH COMMUNITY|105493234E,"$10,000",,,,,,,,,,,,,
URBAN THEATER CHICAGO|10598798,"$10,000",,,,,,,,,,,,,
THOMPSON STREET OPERA COMPANY|105457377V,"$10,000",,,,,,,,,,,,,
THE HEALING ACADEMY|10623478,"$10,000",,,,,,,,,,,,,
ST. MONICA ACADEMY|10600013,"$10,000",,,,,,,,,,,,,
ST. EUGENE PARISH|10599249,"$10,000",,,,,,,,,,,,,
SILVER ROOM SOUND SYSTEM BLOCK PARTY LLC|10615573,"$10,000",,,,,,,,,,,,,
SIDESHOW THEATRE COMPANY NFP|98694208L,"$10,000",,,,,,,,,,,,,
ROOTS & CULTURE CONTEMP ART|102683925V,"$10,000",,,,,,,,,,,,,
RESURRECTION COLLEGE PREP HIGH SCHOOL|10603644,"$10,000",,,,,,,,,,,,,
REPERTORIO LATINO THEATER COMPANY|105457382M,"$10,000",,,,,,,,,,,,,
PROFESSIONAL THEATRE & DANCE YOUTH ACADEMY|10602906,"$10,000",,,,,,,,,,,,,
"PERCEPTUAL MOTION, INC.|31311353X","$10,000",,,,,,,,,,,,,
OTHER WORLD THEATRE|105457457M,"$10,000",,,,,,,,,,,,,
MUSIC INC|1020192,"$10,000",,,,,,,,,,,,,
MLK FRIENDS OF BASKETBALL INC.|10603368,"$10,000",,,,,,,,,,,,,
MAX JULIAN SANSING|10610476,"$10,000",,,,,,,,,,,,,
MARYLU HERRERA|10615964,"$10,000",,,,,,,,,,,,,
MAKE LITERARY PRODUCTIONS NFP|95473348T,"$10,000",,,,,,,,,,,,,
LYNX PROJECT|10602999,"$10,000",,,,,,,,,,,,,
INVICTUS THEATRE COMPANY|102687112H,"$10,000",,,,,,,,,,,,,
INTERNATIONAL POLKA ASSOCIATION|10603452,"$10,000",,,,,,,,,,,,,
IMMACULATE CONCEPTION SCHOOL|10171478,"$10,000",,,,,,,,,,,,,
HROMOVYTSIA UKRAINIAN DANCE ENSEMBLE|10603451,"$10,000",,,,,,,,,,,,,
HARMONY INTERNATIONAL DEVELOPMENT|10597698,"$10,000",,,,,,,,,,,,,
HACIA.A.C.I.A|22206425M,"$10,000",,,,,,,,,,,,,
"FRESH PATH, INC.|10613786","$10,000",,,,,,,,,,,,,
FLOATING MUSEUM|102462945L,"$10,000",,,,,,,,,,,,,
FAHEEM MAJEED|94581184V,"$10,000",,,,,,,,,,,,,
ERASING THE DISTANCE|94680902E,"$10,000",,,,,,,,,,,,,
DESTINY OUTREACH|10597697,"$10,000",,,,,,,,,,,,,
DARIOUS LYLES|10596914,"$10,000",,,,,,,,,,,,,
COLLABORATIVE ARTS|105479269H,"$10,000",,,,,,,,,,,,,
CHICAGO YOUTH SHAKESPEARE|105456165Z,"$10,000",,,,,,,,,,,,,
CHICAGO METROPOLITAN SYMPHONY ORCHESTRA|50741021,"$10,000",,,,,,,,,,,,,
CHICAGO CABARET PROFESSIONALS|105475326M,"$10,000",,,,,,,,,,,,,
CHESTERFIELD COMMUNITY COUNCIL|25944945P,"$10,000",,,,,,,,,,,,,
CEASAR PEREZ|10624148,"$10,000",,,,,,,,,,,,,
BROKEN NOSE THEATRE|102659797A,"$10,000",,,,,,,,,,,,,
BLUES KIDS FOUNDATION|102455591A,"$10,000",,,,,,,,,,,,,
AVALON PARK ADVISORY COUNCIL|10597777,"$10,000",,,,,,,,,,,,,
ARTISTIC HOME ACTING ENSEM|95370120A,"$10,000",,,,,,,,,,,,,
ABENA MOTABOLI|10625862,"$10,000",,,,,,,,,,,,,
5 PEAS IN A POD FOUNDATION|10588736,"$10,000",,,,,,,,,,,,,
ONT MEDIA|10596624,"$9,990",,,,,,,,,,,,,
ROBERT OAKLEY GREGORY|10595605,"$9,750",,,,,,,,,,,,,
LAKESHORE LEARNING MATERIALS|86302228V,"$9,500",,,,,,,,,,,,,
NAJWA DANCE CORPS 01|33650598A,"$9,000",,,,,,,,,,,,,
MIDSOMMER FLIGHT NFP|105478352H,"$9,000",,,,,,,,,,,,,
"CHAI COLLABORATIVE ENSEMBLE, NFP|10602548","$9,000",,,,,,,,,,,,,
"MUSICAL CHAIRS STUDIO, INC.|105487786P","$8,455",,,,,,,,,,,,,
ON THE REAL FILM INC.|105506180P,"$8,000",,,,,,,,,,,,,
GF PRODUCTIONS|10627027,"$8,000",,,,,,,,,,,,,
"EASTERN ENGINEERING SUPPLY, INC|105489027E","$7,980",,,,,,,,,,,,,
JASON ROEBKE|98715559H,"$7,750",,,,,,,,,,,,,
QPR INSTITUTE|10617907,"$7,620",,,,,,,,,,,,,
WEST CHESTERFIELD COMM SERVICE|31311987E,"$7,500",,,,,,,,,,,,,
STOPTIME LIMITED|105458422P,"$7,500",,,,,,,,,,,,,
KEITH BROWNLEE DBA KAYA CREATIVE|10601327,"$7,200",,,,,,,,,,,,,
MARINA ROSS|10603136,"$7,000",,,,,,,,,,,,,
ZHENGFAN YANG|10597003,"$6,000",,,,,,,,,,,,,
ZACHARY FINNEGAN|10615861,"$6,000",,,,,,,,,,,,,
WILLIS WEINSTEIN|10616788,"$6,000",,,,,,,,,,,,,
WILLIAM WILHELM|10626167,"$6,000",,,,,,,,,,,,,
WILLIAM SCHNEIDER|10616623,"$6,000",,,,,,,,,,,,,
WILLIAM D. MACKAY|102636867V,"$6,000",,,,,,,,,,,,,
WHITNEY JOHNSON|10616406,"$6,000",,,,,,,,,,,,,
WANEES ZAROUR|105465674M,"$6,000",,,,,,,,,,,,,
VIRGINIA A. KREBS|75235869A,"$6,000",,,,,,,,,,,,,
VICTORIA NASSIF|10616720,"$6,000",,,,,,,,,,,,,
VICTOR EDWARDS|10624834,"$6,000",,,,,,,,,,,,,
VANESSA VALLIERE|105464443L,"$6,000",,,,,,,,,,,,,
TZU TSEN WU|105473884P,"$6,000",,,,,,,,,,,,,
TYRONE HAWTHORNE DBA BLAQ ICE|10617170,"$6,000",,,,,,,,,,,,,
TULIKA LADSARIYA STUDIO|10615137,"$6,000",,,,,,,,,,,,,
TOM CALLAHAN|94169727Z,"$6,000",,,,,,,,,,,,,
TODD BARRERA DISLER|10616615,"$6,000",,,,,,,,,,,,,
TINIA MONTFORD|10598889,"$6,000",,,,,,,,,,,,,
TIMOTHY T JONES|60375091Z,"$6,000",,,,,,,,,,,,,
TIA LORENNA DUNLAP|10626440,"$6,000",,,,,,,,,,,,,
THUONG TRAN|10626171,"$6,000",,,,,,,,,,,,,
TERESA WHITE 01|10619370,"$6,000",,,,,,,,,,,,,
TATIANA ARMENDARIZ|10624598,"$6,000",,,,,,,,,,,,,
TANDRA HAWKINS|10615823,"$6,000",,,,,,,,,,,,,
TALIA KOYLASS|10616440,"$6,000",,,,,,,,,,,,,
SUSANNAH BIELAK|105473348T,"$6,000",,,,,,,,,,,,,
SUSAN GILES|34711825Z,"$6,000",,,,,,,,,,,,,
SURYA SWILLEY|10616766,"$6,000",,,,,,,,,,,,,
STEVEN J. WALSH|10599054,"$6,000",,,,,,,,,,,,,
STEPHANIE MARTINEZ|10597099,"$6,000",,,,,,,,,,,,,
SOUTH ASIAN CLASSICAL MUSIC SOCIETY OF CHICAGO|105467090H,"$6,000",,,,,,,,,,,,,
SOUL MESSAGE TRIO/LEE ROTHENBERG|105457102T,"$6,000",,,,,,,,,,,,,
SOPHIE GORDON|10597347,"$6,000",,,,,,,,,,,,,
SONJA HENDERSON|10606004,"$6,000",,,,,,,,,,,,,
SOJOURNER WRIGHT|105456195P,"$6,000",,,,,,,,,,,,,
SIUL REYNOSO|10625250,"$6,000",,,,,,,,,,,,,
SHIREEN DICKSON|10625552,"$6,000",,,,,,,,,,,,,
SHENGZE ZHU|10624768,"$6,000",,,,,,,,,,,,,
SHARYON A CULBERSON|10382245,"$6,000",,,,,,,,,,,,,
SHARON BLADHOLM|105463860T,"$6,000",,,,,,,,,,,,,
SHAMEER GOSS|10616392,"$6,000",,,,,,,,,,,,,
SHAINA LUND|10616503,"$6,000",,,,,,,,,,,,,
SERENA ELSTON|10624707,"$6,000",,,,,,,,,,,,,
SEAN HUSSEY|105463509A,"$6,000",,,,,,,,,,,,,
SEAN CLELAND|105472715Z,"$6,000",,,,,,,,,,,,,
SEAMUS CAREY|10597333,"$6,000",,,,,,,,,,,,,
SARAH QUILLIN|10624539,"$6,000",,,,,,,,,,,,,
SARA HADLEY AUSTIN|10625345,"$6,000",,,,,,,,,,,,,
SARA D'IPPOLITO REICHERT|10625549,"$6,000",,,,,,,,,,,,,
SANKALP RAJU|10626036,"$6,000",,,,,,,,,,,,,
SANDRA LEONARD|102479516Z,"$6,000",,,,,,,,,,,,,
SANDRA JACKSON-OPOKU|102618899V,"$6,000",,,,,,,,,,,,,
SANDRA DELGADO|94581124E,"$6,000",,,,,,,,,,,,,
SAMUEL MOSCHING|10616591,"$6,000",,,,,,,,,,,,,
SAMUEL ELLENBY|10625894,"$6,000",,,,,,,,,,,,,
SAMUEL CANTOR|105467904V,"$6,000",,,,,,,,,,,,,
SAMANTHA JORDAN|105476176M,"$6,000",,,,,,,,,,,,,
SAM PILNICK|105464316Z,"$6,000",,,,,,,,,,,,,
SALVADOR JIMINEZ|10598838,"$6,000",,,,,,,,,,,,,
SALVADOR DOMINGUEZ 01|10625709,"$6,000",,,,,,,,,,,,,
SAL MORENO|10598890,"$6,000",,,,,,,,,,,,,
RYAN MAYER|10616066,"$6,000",,,,,,,,,,,,,
RYAN LUZZO|10625772,"$6,000",,,,,,,,,,,,,
RUTH LEITMAN|105463231P,"$6,000",,,,,,,,,,,,,
RUBEN CARRAZANA|10614659,"$6,000",,,,,,,,,,,,,
ROSALBA VALDEZ|10616780,"$6,000",,,,,,,,,,,,,
ROGELIO CADENA|10624704,"$6,000",,,,,,,,,,,,,
RODNEY GIPSON|10597652,"$6,000",,,,,,,,,,,,,
ROBERT LUNDBERG|10616504,"$6,000",,,,,,,,,,,,,
ROBERT J. JOHNSON|10625588,"$6,000",,,,,,,,,,,,,
RISHA SANIKOMMU|10626107,"$6,000",,,,,,,,,,,,,
REGINALD C. JACKSON|10624603,"$6,000",,,,,,,,,,,,,
REBECCA DIANE HUANG|10598820,"$6,000",,,,,,,,,,,,,
REBECA ALEMAN|102618929M,"$6,000",,,,,,,,,,,,,
RAYMOND THOMAS|95235846M,"$6,000",,,,,,,,,,,,,
RAYMI SMITH|10616761,"$6,000",,,,,,,,,,,,,
RASHIDAH SALES|10616621,"$6,000",,,,,,,,,,,,,
RAMI ATASSI|10616614,"$6,000",,,,,,,,,,,,,
"PINNACLE ERA CONSULTANTS, LLC|10618509","$6,000",,,,,,,,,,,,,
PHILLIP WOOD|10599231,"$6,000",,,,,,,,,,,,,
PHILLIP KEEFE|10616438,"$6,000",,,,,,,,,,,,,
PETER FREDERIKSEN|10625574,"$6,000",,,,,,,,,,,,,
PAUL DURICA|94848957X,"$6,000",,,,,,,,,,,,,
PAUL A BRANTON|10414574,"$6,000",,,,,,,,,,,,,
OLYA ADKISON|10627249,"$6,000",,,,,,,,,,,,,
OLIVE STEFANSKI|10615469,"$6,000",,,,,,,,,,,,,
OLADIPO OYEWO|10626033,"$6,000",,,,,,,,,,,,,
NORTHWEST ARTS CONNECTION|98770950Z,"$6,000",,,,,,,,,,,,,
NICOLE ADAMS DBA THIRD EYE SWAG PRODUCTIONS LLC|10614851,"$6,000",,,,,,,,,,,,,
NICKOLAS KAPLAN|10616622,"$6,000",,,,,,,,,,,,,
NEIL JENDON|10625586,"$6,000",,,,,,,,,,,,,
NAYEON YANG|10616799,"$6,000",,,,,,,,,,,,,
NATHAN MILLER|10598991,"$6,000",,,,,,,,,,,,,
NAOMI ASHLEY|50830021,"$6,000",,,,,,,,,,,,,
NANETTE FRANK|105474399Z,"$6,000",,,,,,,,,,,,,
NAILAH STEVENSON|10615726,"$6,000",,,,,,,,,,,,,
NADYA NAUMAAN|10625864,"$6,000",,,,,,,,,,,,,
NADIA FRIERSON|10615626,"$6,000",,,,,,,,,,,,,
MY LINH LE TRAN|10599045,"$6,000",,,,,,,,,,,,,
MORGAN JORDAN|10598839,"$6,000",,,,,,,,,,,,,
MONICA PIZANO|10616619,"$6,000",,,,,,,,,,,,,
"MIGUEL LEPE, JR.|10616502","$6,000",,,,,,,,,,,,,
MICHELLE MARIE KENDRICK HARTNEY|10615115,"$6,000",,,,,,,,,,,,,
MICHELLE ISAAC|10598834,"$6,000",,,,,,,,,,,,,
MICHELLE BILLINGSLEY MUSIC|10615304,"$6,000",,,,,,,,,,,,,
MICHAEL PAXTON|1054419,"$6,000",,,,,,,,,,,,,
MICHAEL MOSHER|10616590,"$6,000",,,,,,,,,,,,,
MICHAEL HUDSON-CASANOVA|10596846,"$6,000",,,,,,,,,,,,,
MICHAEL HOYT|10615986,"$6,000",,,,,,,,,,,,,
MICHAEL COSTELLO|1061297,"$6,000",,,,,,,,,,,,,
MEREDITH HAINES|10625579,"$6,000",,,,,,,,,,,,,
MELISSA DUPREY|56962049,"$6,000",,,,,,,,,,,,,
MEGAN DOHERTY|102466620Z,"$6,000",,,,,,,,,,,,,
MAYA HORTON|10616405,"$6,000",,,,,,,,,,,,,
MATTHEW THOMAS|10597096,"$6,000",,,,,,,,,,,,,
MATTHEW SKOLLER BAND|86694394E,"$6,000",,,,,,,,,,,,,
MATTHEW DAVIS|102632973X,"$6,000",,,,,,,,,,,,,
MATTHEW BODETT|102466132X,"$6,000",,,,,,,,,,,,,
MATT FERGUSON|50092985,"$6,000",,,,,,,,,,,,,
MATHEU BOURQUE|10597284,"$6,000",,,,,,,,,,,,,
MARQUES STEWART|10601436,"$6,000",,,,,,,,,,,,,
MARQUES CARROLL|10597334,"$6,000",,,,,,,,,,,,,
MARITZA CERVANTES|1070614,"$6,000",,,,,,,,,,,,,
MARISOL VELEZ|95236458H,"$6,000",,,,,,,,,,,,,
MARISOL CERON|10625494,"$6,000",,,,,,,,,,,,,
MARIO MENA|10616585,"$6,000",,,,,,,,,,,,,
MARIAH EASTMAN|10625564,"$6,000",,,,,,,,,,,,,
MARIA TORRES 01|105463556V,"$6,000",,,,,,,,,,,,,
MARIA LETICIA MARTINEZ|10617100,"$6,000",,,,,,,,,,,,,
MARIA BURUNDARENA|10625493,"$6,000",,,,,,,,,,,,,
MARGARET QUEENEY|105456214Z,"$6,000",,,,,,,,,,,,,
MARGARET CROWLEY|10597337,"$6,000",,,,,,,,,,,,,
MARCELA SILVIA DIAZ BROWN|104588031T,"$6,000",,,,,,,,,,,,,
MANDELA HUDSON|10598833,"$6,000",,,,,,,,,,,,,
MALIK ALHASAN|10597276,"$6,000",,,,,,,,,,,,,
MAKEDA EASTER|10625682,"$6,000",,,,,,,,,,,,,
MAI SUGIMOTO|102597565X,"$6,000",,,,,,,,,,,,,
MADE DYAH MINARNO|10616587,"$6,000",,,,,,,,,,,,,
LYNTUAN JONES|10616408,"$6,000",,,,,,,,,,,,,
LUIS RAMIREZ|10616744,"$6,000",,,,,,,,,,,,,
LUCY HOLDEN|10598818,"$6,000",,,,,,,,,,,,,
LOUELLA ROSE CABALONA|10611676,"$6,000",,,,,,,,,,,,,
LORI FELKER|10625578,"$6,000",,,,,,,,,,,,,
LIVIU PASARE|10616727,"$6,000",,,,,,,,,,,,,
LISHAN AMDE|10598154,"$6,000",,,,,,,,,,,,,
LIONAL FREEMAN|105455701V,"$6,000",,,,,,,,,,,,,
LINNEA FRYE|10615889,"$6,000",,,,,,,,,,,,,
LINDSEY THORNTON|102467536X,"$6,000",,,,,,,,,,,,,
LINDA WALKER|105464939H,"$6,000",,,,,,,,,,,,,
LILY EMERSON|10597000,"$6,000",,,,,,,,,,,,,
LIAM MCDONALD|10616581,"$6,000",,,,,,,,,,,,,
LIAM BRADLEY|10598126,"$6,000",,,,,,,,,,,,,
LEWIS RAWLINSON|10616741,"$6,000",,,,,,,,,,,,,
LETICIA PARDO ROJO|105463216T,"$6,000",,,,,,,,,,,,,
LEAH S COWEN|53728021,"$6,000",,,,,,,,,,,,,
LAUREN DEUTSCH|10615947,"$6,000",,,,,,,,,,,,,
LAURA ST. JOHN|10599041,"$6,000",,,,,,,,,,,,,
LAURA E. CROTTE|95256047P,"$6,000",,,,,,,,,,,,,
LARRY TCHOGNINOU|10616770,"$6,000",,,,,,,,,,,,,
LARRY T HILL|44778272T,"$6,000",,,,,,,,,,,,,
"LAKESIDE PRIDE ENSEMBLES, INC.|94143419T","$6,000",,,,,,,,,,,,,
KYLEE ALEXANDER|10597275,"$6,000",,,,,,,,,,,,,
KRISTINE BERGMARK|10625650,"$6,000",,,,,,,,,,,,,
KRISTIN MCWHARTER|10610473,"$6,000",,,,,,,,,,,,,
KRISTIE KAHNS|50848031,"$6,000",,,,,,,,,,,,,
KOPANO MUHAMMAD|10624602,"$6,000",,,,,,,,,,,,,
KIMBERLY NUCCI|10625848,"$6,000",,,,,,,,,,,,,
KIMBERLEY MBAYIWA|10598885,"$6,000",,,,,,,,,,,,,
KHOSRO A. BEIK|97366347X,"$6,000",,,,,,,,,,,,,
KENVONTA LEGGITT|10616488,"$6,000",,,,,,,,,,,,,
KENNETH COOK|10625544,"$6,000",,,,,,,,,,,,,
KELLI CONNELL|10599888,"$6,000",,,,,,,,,,,,,
KELECHI AGWUNCHA|10625899,"$6,000",,,,,,,,,,,,,
KAYLA ANDERSON|10599050,"$6,000",,,,,,,,,,,,,
KATIE CHUNG|105463408X,"$6,000",,,,,,,,,,,,,
KATHRYN SHIVAK|105464387M,"$6,000",,,,,,,,,,,,,
KATHRYN RAUTH|10616620,"$6,000",,,,,,,,,,,,,
KATHERINE DAVIS|93419951P,"$6,000",,,,,,,,,,,,,
KATELYN DOUGLASS|10625559,"$6,000",,,,,,,,,,,,,
KARA JOHNSON|95584895Z,"$6,000",,,,,,,,,,,,,
JUSTINE BAYOD ESPOZ|57028424,"$6,000",,,,,,,,,,,,,
JUSTIN REDDING|10615728,"$6,000",,,,,,,,,,,,,
JUNKO KAJINO|10625686,"$6,000",,,,,,,,,,,,,
JULIAN STROOP|10616765,"$6,000",,,,,,,,,,,,,
JULIAN HARRIS|10598815,"$6,000",,,,,,,,,,,,,
JULIA MONDSCHEAN|10625860,"$6,000",,,,,,,,,,,,,
JULIA ARREDONDO|10597281,"$6,000",,,,,,,,,,,,,
JUAN PASTOR|56974148,"$6,000",,,,,,,,,,,,,
JOSUE PELLOT|34829301A,"$6,000",,,,,,,,,,,,,
JOSHUA ROSS|10616757,"$6,000",,,,,,,,,,,,,
JOSH CHICOINE|10597335,"$6,000",,,,,,,,,,,,,
JOSEPH RAVENS|34829307H,"$6,000",,,,,,,,,,,,,
JOSEPH KRAMER|102465988A,"$6,000",,,,,,,,,,,,,
JOSEPH ALTSHULER|10597278,"$6,000",,,,,,,,,,,,,
JOSE RAICES|10626035,"$6,000",,,,,,,,,,,,,
JORDYN HARRISON|10615957,"$6,000",,,,,,,,,,,,,
"JONES, DAWN R|10614651","$6,000",,,,,,,,,,,,,
JONATHAN VEGA|10616782,"$6,000",,,,,,,,,,,,,
JONATHAN MAYO|102676240M,"$6,000",,,,,,,,,,,,,
JOHN TATE|10600622,"$6,000",,,,,,,,,,,,,
JOHN MICHAEL COLGIN|10624831,"$6,000",,,,,,,,,,,,,
JOHN FLOYD|10615888,"$6,000",,,,,,,,,,,,,
JOEL STYZENS|53726036,"$6,000",,,,,,,,,,,,,
JITESH JAGGI|10624711,"$6,000",,,,,,,,,,,,,
JIM BLISSITT III|10625458,"$6,000",,,,,,,,,,,,,
JIL ROSS|10542556,"$6,000",,,,,,,,,,,,,
JIBA ANDERSON|10624764,"$6,000",,,,,,,,,,,,,
JEWELLS SANTOS|10616758,"$6,000",,,,,,,,,,,,,
JESSICA RISKER|96090713A,"$6,000",,,,,,,,,,,,,
JERRELL HENDERSON|10615962,"$6,000",,,,,,,,,,,,,
JEROME KELLY|10624731,"$6,000",,,,,,,,,,,,,
JERODE RODGERS|105471771P,"$6,000",,,,,,,,,,,,,
JEREMIAH COLLIER|105455562X,"$6,000",,,,,,,,,,,,,
JENNIFER LAU|10597001,"$6,000",,,,,,,,,,,,,
JENNIFER HODGES|10615965,"$6,000",,,,,,,,,,,,,
JENNA ANAST|105472134T,"$6,000",,,,,,,,,,,,,
JEN ELOS REYES|105472949E,"$6,000",,,,,,,,,,,,,
JEFFREY WOLIN|10599230,"$6,000",,,,,,,,,,,,,
JEFFREY SILVA|10626099,"$6,000",,,,,,,,,,,,,
JEFFREY AUSTIN|102583752T,"$6,000",,,,,,,,,,,,,
JAZMINE ELAINE HARRIS|10621241,"$6,000",,,,,,,,,,,,,
JAY ALAN YIM|95239071P,"$6,000",,,,,,,,,,,,,
JASSIEL SERNA|10626104,"$6,000",,,,,,,,,,,,,
JASON VICTOR ROBERTS|10617823,"$6,000",,,,,,,,,,,,,
JASON HOWARD|102605493A,"$6,000",,,,,,,,,,,,,
JASMINE PARKS|10614652,"$6,000",,,,,,,,,,,,,
JASMIN TAYLOR|10592916,"$6,000",,,,,,,,,,,,,
JASAUN BUCKNER|10626413,"$6,000",,,,,,,,,,,,,
JARVELL WILLIAMS|10625337,"$6,000",,,,,,,,,,,,,
JANICE MISURELL-MITCHELL|102465268Z,"$6,000",,,,,,,,,,,,,
JANET RODRIGUEZ|10595606,"$6,000",,,,,,,,,,,,,
JALEN HAMILTON|10624910,"$6,000",,,,,,,,,,,,,
JAKINA HILL|98770998Z,"$6,000",,,,,,,,,,,,,
JACQUELINE BOWES|10616616,"$6,000",,,,,,,,,,,,,
ISAIAH COLLIER|102466854E,"$6,000",,,,,,,,,,,,,
ISABELLE MCGUIRE|10598887,"$6,000",,,,,,,,,,,,,
ISAAC COUCH|10615855,"$6,000",,,,,,,,,,,,,
IRENE HSIAO|105473859M,"$6,000",,,,,,,,,,,,,
INES SOMMER|93737025V,"$6,000",,,,,,,,,,,,,
IAN DAMONT MARTIN|10615622,"$6,000",,,,,,,,,,,,,
HYPERTEXT MAGAZINE & STUDIO|105478579P,"$6,000",,,,,,,,,,,,,
HOPE WANG|10599055,"$6,000",,,,,,,,,,,,,
HARLEY FOOS|10625700,"$6,000",,,,,,,,,,,,,
HANNAH FIDLER|10596689,"$6,000",,,,,,,,,,,,,
GUSTAVO CORTINAS-FOUILLOUX|105472225T,"$6,000",,,,,,,,,,,,,
GOLI PARVINIAN|105463700L,"$6,000",,,,,,,,,,,,,
GLORIA LRIVERA CREATIVE STUDIOS LLC|105471163Z,"$6,000",,,,,,,,,,,,,
GLENN BEAMON|10597282,"$6,000",,,,,,,,,,,,,
GILLIAN BUTCHER|10615746,"$6,000",,,,,,,,,,,,,
"GERALD JACKSON, JR.|10625685","$6,000",,,,,,,,,,,,,
GABRIEL CHALFIN-PINEY|10615559,"$6,000",,,,,,,,,,,,,
GABRIEL ALSTON|10624703,"$6,000",,,,,,,,,,,,,
FULLAMUSU BANGURA|10615235,"$6,000",,,,,,,,,,,,,
FAYLITA HICKS|10625683,"$6,000",,,,,,,,,,,,,
FAUNTA LUCKETT|10625770,"$6,000",,,,,,,,,,,,,
FATIMA OGUNLEYE|10626029,"$6,000",,,,,,,,,,,,,
FAITH VON ATZIGEN|10616783,"$6,000",,,,,,,,,,,,,
FABIO DE FARIA|10597340,"$6,000",,,,,,,,,,,,,
ESTEPHANY GUZMAN|102509462Z,"$6,000",,,,,,,,,,,,,
ERIC NODEN|31292770X,"$6,000",,,,,,,,,,,,,
EMMA FRANKS|10615863,"$6,000",,,,,,,,,,,,,
EMLYN BEAN|10615943,"$6,000",,,,,,,,,,,,,
EMILIO ALBERTINI|10597274,"$6,000",,,,,,,,,,,,,
EMERALD CATRON|10626443,"$6,000",,,,,,,,,,,,,
ELVINA RAFI|10624714,"$6,000",,,,,,,,,,,,,
ELODIE EDJANG MENGUEME|10615860,"$6,000",,,,,,,,,,,,,
ELIZABETH STOUT|10599043,"$6,000",,,,,,,,,,,,,
ELIZABETH ODOM|95235899P,"$6,000",,,,,,,,,,,,,
ELIZABETH BREIT|10615745,"$6,000",,,,,,,,,,,,,
ELISE JAFFE|10598837,"$6,000",,,,,,,,,,,,,
ELI RAMIREZ|10626038,"$6,000",,,,,,,,,,,,,
ELGIN SMITH|102635062H,"$6,000",,,,,,,,,,,,,
ELEANOR SHARP|102455210A,"$6,000",,,,,,,,,,,,,
EILEEN CHAVEZ|10625708,"$6,000",,,,,,,,,,,,,
EDUARDO CINTRON|10616625,"$6,000",,,,,,,,,,,,,
EARL SUICO|10580900,"$6,000",,,,,,,,,,,,,
DONNIE SEALS|10618630,"$6,000",,,,,,,,,,,,,
DIANNA FRID|44090639L,"$6,000",,,,,,,,,,,,,
DIANA HINOJOSA|94594006T,"$6,000",,,,,,,,,,,,,
DEONTAY WILSON|10599227,"$6,000",,,,,,,,,,,,,
DEL MARIE NELSON|10624713,"$6,000",,,,,,,,,,,,,
DEBORAH J CRABLE|87002375V,"$6,000",,,,,,,,,,,,,
DEBBIE-MARIE BROWN|10625707,"$6,000",,,,,,,,,,,,,
DAVID SINGER|10614660,"$6,000",,,,,,,,,,,,,
DAVID NAKAZONO|10616719,"$6,000",,,,,,,,,,,,,
DAVID A HOLCOMBE|105459851T,"$6,000",,,,,,,,,,,,,
DARIS JASPER|105472333V,"$6,000",,,,,,,,,,,,,
DANIELLE CASTONZO|10615946,"$6,000",,,,,,,,,,,,,
DANIELLE ANDRESS|10615739,"$6,000",,,,,,,,,,,,,
DANIEL STRACK|10616764,"$6,000",,,,,,,,,,,,,
CYNTHIA WEISS|105477522T,"$6,000",,,,,,,,,,,,,
CYNTHIA MARTIN|10617274,"$6,000",,,,,,,,,,,,,
CURTIS EDWIN POWELL|10190416,"$6,000",,,,,,,,,,,,,
CRYSTLE DINO|10625553,"$6,000",,,,,,,,,,,,,
CRISTINA RODRIGUEZ 01|10626039,"$6,000",,,,,,,,,,,,,
COREY SMITH|102584447X,"$6,000",,,,,,,,,,,,,
COREY BRADBERRY|10597285,"$6,000",,,,,,,,,,,,,
COLE DEGENOVA|104588026Z,"$6,000",,,,,,,,,,,,,
CHRISTY BENNETT|102654115T,"$6,000",,,,,,,,,,,,,
CHRISTOPHER REEVES|10626037,"$6,000",,,,,,,,,,,,,
CHRISTOPHER COSNOWSKI|10617038,"$6,000",,,,,,,,,,,,,
CHRISTINE FORNI|10615862,"$6,000",,,,,,,,,,,,,
