,Purchase Order Description,Purchase Order (Contract) Number,Revision Number,Specification Number,Contract Type,Start Date,End Date,Approval Date,Department,Vendor Name,Vendor ID,Address 1,Address 2,City,State,Zip,Award Amount,Procurement Type,Contract PDF
7414,Creative Industries Study on DCASE Music Programs and Services,216775,0,1265371,COMPTROLLER-OTHER,12/26/2022,12/25/2024,01/26/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,METRIS ARTS LLC,105475896L,PO BOX 1272,,EASTON,PA,18044,"$50,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={4087EC87-0000-C71B-BFE2-3555110C263B}
7415,DFSS-CORP-YS-OST:,208772,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"BREAKTHROUGH URBAN MINISTRIES, INC.",94722896V,402 N ST LOUIS AVENUE EFT,,CHICAGO,IL,60624,"$324,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30182A87-0000-C712-97A3-BF6CDB307CDC}
7416,GUEST CURATOR AGREEMENT,216779,0,1265373,COMPTROLLER-OTHER,01/01/2022,02/28/2023,01/26/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,ILLINOIS ARTS ALLIANCE DBA ARTS ALLIANCE ILLINOIS,94290720L,200 N MICHIGAN AVE # 404,,CHICAGO,IL,60601,"$30,845.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={6088EC87-0000-C814-9671-17932099D78F}
7417,DFSS-CORP-YS-OST:,208745,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,ALTERNATIVE SCHOOLS NETWORK,8509307T,1807 W SUNNYSIDE AVE STE 1D,,CHICAGO,IL,60640,"$405,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={608F4E88-0000-C518-B1CF-DBEA3F422B62}
7418,DFSS-CORP-YS-OST:,208793,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CHRISTOPHER HOUSE,99076565L,1611 W DIVISION STREET EFT,,CHICAGO,IL,60622,"$162,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={804A9F87-0000-C51E-BFA2-77A41CD5B59F}
7419,DFSS-CORP-YS-OST:,208814,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,PHALANX FAMILY SERVICES,85554962P,4628 W WASHINGTON BLVD,,CHICAGO,IL,60644,"$243,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={305C9F87-0000-C716-837F-7E6C0BAB4E48}
7420,DFSS-ESG-HL-ESH:,148663,2,1218586,DELEGATE AGENCY,01/01/2021,02/03/2023,01/26/2023,,CORPORATION FOR SUPPORTIVE HOUSING,31289254Z,HOUSING,342 MADISON AVE STE 505,NEW YORK,NY,10173,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A0B9E186-0000-C515-9B06-A4D0D58945FC}
7421,DFSS-CORP-YS-OST:,208820,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,SOUTH SIDE HELP CENTER 01,98146481X,10420 S HALSTED ST,,CHICAGO,IL,60628,"$243,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A09EC987-0000-CD1E-8FCD-6D064809F160}
7422,To Provide for Five Public Health Vending Machines,216792,0,1265396,COMPTROLLER-OTHER,10/13/2022,10/12/2024,01/26/2023,CHICAGO DEPARTMENT OF PUBLIC HEALTH,U Select It Holdings LLC,10603470,8040 University Blvd,,Clive,IA,50325-1118,"$70,875.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A08CEC87-0000-CE1A-8518-E737433BD673}
7423,DFSS-CORP-YS-OST:,208756,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,BEYOND THE BALL NFP,102566745E,3000 S LAWNDALE AVE,,CHICAGO,IL,60623,"$162,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A070DD87-0000-C41A-91BD-3C2B7DF1C6B3}
7424,CDPH-MNTL-HLTH: PO 212021 Trilogy,212021,0,1204227,DELEGATE AGENCY,01/01/2023,12/31/2023,01/26/2023,,TRILOGY INC,15234314X,1400 W GREENLEAF EFT,,CHICAGO,IL,60626,"$300,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={60949986-0000-CB1E-978C-05C22C1F892F}
7425,DFSS-ARP-DV-LSFGBVS:,196048,1,1242079,DELEGATE AGENCY,05/01/2022,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,ASCEND JUSTICE,105477271H,555 W HARRISON ST,,CHICAGO,IL,60607,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A05EDD87-0000-CE18-9DF7-008D6014F843}
7426,DFSS-CORP-YS-OST:,208786,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"CHICAGO YOUTH BOXING CLUB, INC.",94141280Z,2300 S MILLARD AVE,,CHICAGO,IL,60623,"$162,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A052E387-0000-CB1F-A632-2EE302328FD0}
7427,NON-TARGET MARKET COMPREHENSIVE CUSTODIAL SERVICES FOR ZONE 3 (SOUTHWEST SIDE),70944,1,311678,WORK SERVICES / FACILITIES MAINT.,02/14/2018,02/13/2024,01/26/2023,DEPT OF ASSETS INFORMATION AND SERVICES,DAYSPRING PROFESSIONAL JANITOR,93775984P,550 TAFT DR,,SOUTH HOLLAND,IL,60473,$0.00,RFP,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={A01BF485-0000-CD17-AED9-15AEFFDF6EF0}
7428,DESIGN AGREEMENT JPSTC,216771,0,1265363,COMPTROLLER-OTHER,01/22/2023,03/31/2023,01/26/2023,DEPARTMENT OF CULTURAL AFFAIRS AND SPECIAL EVENTS,FAUST ASSOCIATES IN DESIGNED,102455876M,"COMMUNICATIONS, LTD.",410 S. MICHIGAN AVE. PENTHOUSE,CHICAGO,IL,60605,"$150,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={8084EC87-0000-C610-95B9-BB2F71769903}
7429,DFSS-CORP-YS-OST:,208838,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"TRUE STAR FOUNDATION, INC.",99253726A,1130 S WABASH EFT,,CHICAGO,IL,60605,"$162,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={609DC887-0000-C01C-BA14-058F56795A86}
7430,DFSS-CORP-YS-OST:,208815,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,PROJECT EXPLORATION,102549293X,4511 S EVANS AVE,,CHICAGO,IL,60653,"$567,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90EA0188-0000-C110-A82C-9E95A96464C2}
7431,DFSS-CORP-YS-OST:,208778,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CENTRO ROMERO,31314366X,6216 N CLARK ST,FL 1ST & BSMT,CHICAGO,IL,60660,"$162,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={9082A087-0000-C216-92A0-FFB88581641A}
7432,DFSS-CORP-YS-OST:,208732,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"ALBANY PARK COMMUNITY CENTER, INC",22098831L,5101 N KIMBALL AVE,,CHICAGO,IL,60625,"$162,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={907DA087-0000-C314-9258-11EA99778FFB}
7433,DFSS-CORP-YS-OST:,210660,0,1247493,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"A KNOCK AT MIDNIGHT, NFP",28976533T,400 W 76TH STREET EFT ST,STE 202,CHICAGO,IL,60620,"$216,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={9072DD87-0000-C311-B00D-17974D6DF88C}
7434,DFSS-CORP-YS-OST:,208752,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,BROADER.URBAN.INVESTMENT.L.D. INC,93734476Z,5100 W HARRISON ST,,CHICAGO,IL,60644,"$243,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90259687-0000-C611-89FB-180ACE1A4BF0}
7435,DFSS-CORP-YS-OST:,208818,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"SGA YOUTH & FAMILY SERVICES, NFP|CLEANED-UP",90455112P,11 E ADAMS STREET EFT,,CHICAGO,IL,60603,"$324,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={9002BF87-0000-C918-BCDD-9125D10B1BBB}
7436,DFSS-CORP-YS-OST:,208763,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,BOYS & GIRLS CLUBS OF CHICAGO,24051664V,550 W VAN BUREN ST # 350,,CHICAGO,IL,60607,"$891,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={60C52987-0000-CD1B-AACC-CAD2AF62F33D}
7437,DFSS-CORP-YS-OST:,208775,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CAROLE ROBERTSON CENTER FOR LEARNING,105459776M,1111 S WESTERN AVE,,CHICAGO,IL,60612,"$243,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={60CBED87-0000-CC1F-B009-9F6DA1084FB0}
7438,DFSS-ARP-DV-LSFGBVS:,196047,1,1242079,DELEGATE AGENCY,05/01/2022,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CHICAGO ALLIANCE AGAINST SEXUAL EXPLOITATION,55595026,3304 NORTH LINCOLN AVENUE #202,,CHICAGO,IL,60657,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={404BE387-0000-CA12-886A-F692CD9963CC}
7439,DFSS-CORP-YS-OST:,208817,0,1246129,DELEGATE AGENCY,01/01/2023,12/31/2024,01/26/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,EL RINCON SUPPORTIVE SERVICES SRVC ORGN,22201050M,1874 N MILWAUKEE AVE,,CHICAGO,IL,60647,"$162,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80FD0987-0000-CF1D-84DA-8DE8E6D56999}
7440,DFSS-CDBG-DV-CCMS:,177758,1,1220892,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"APNA GHAR, INC.",23446563X,4753 N BROADWAY STE 632,,CHICAGO,IL,60640,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={807A0788-0000-CF1A-B159-8C26AE2E1F6F}
7441,DFSS-CDBG-DV-CCMS:,177756,1,1220892,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,SWEDISH COVENANT HOSPITALLABDEPARTMENT LAB DEPARTMENT,15809281H,5145 N CALIFORNIA AVE STE 645,,CHICAGO,IL,60625,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={60239F86-0000-CD1F-BF09-2CBC44626789}
7442,DFSS-CDBG-DV-CCMS:,177754,1,1220892,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,UNIVERSAL FAMILY CONNECTION INC,3750627Z,1350 W 103RD ST,,CHICAGO,IL,60643,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0542B88-0000-C114-A0E5-F5EFB5596C79}
7443,DFSS-CDBG-WS-TJP:,177419,1,1221530,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,HOPE CENTER FOUNDATION,105479584M,10909 S COTTAGE GROVE AVE,,CHICAGO,IL,60628,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10508087-0000-C11E-8211-6C1C98B72243}
7444,DFSS-CDBG-DV-CCMS:,177777,1,1220892,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,SARAH'S INN,105458988X,1547 CIRCLE AVENUE EFT,,FOREST PARK,IL,60130,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={504C5387-0000-C61E-B3B0-CE92E63EE97D}
7445,DFSS-CDBG-DV-CCMS:,177784,1,1220892,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CENTRO ROMERO,31314366X,6216 N CLARK ST,FL 1ST & BSMT,CHICAGO,IL,60660,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={40924F88-0000-C614-AA8F-0A9EA5CF52B8}
7446,DFSS-CDBG-DV-CCMS:,177765,1,1220892,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,HOWARD AREA COMMUNITY CENTER 01,28386163V,CENTER (AGENT)ROBERT BUCHANAN,7648 N PAULINA ST,CHICAGO,IL,60626,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E0665387-0000-C214-8F56-1CA76E423BC9}
7447,DFSS-CDBG-DV-CCMS:,177782,1,1220892,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"KOREAN AMERICAN COMMUNITY SERVICES, INC.",15141444E,4300 N CALIFORNIA AVENUE EFT,,CHICAGO,IL,60618,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={50215887-0000-C01B-9479-BBCCCA10ADF8}
7448,DFSS-CORP-WS-NCU:,180665,1,1240568,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,SAFER FOUNDATION 01,28640536V,571 W JACKSON BLVD,,CHICAGO,IL,,"$34,400.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90F45686-0000-C116-BDA5-B1CA2526CE4C}
7449,DFSS-CDBG-DV-CCMS:,177750,1,1220892,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,RESURRECTION PROJECT,103368522L,1805 S ASHLAND AVENUE EFT,,CHICAGO,IL,60608,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0B0A886-0000-CA17-98B8-F42F36C7BBE9}
7450,DFSS-CDBG-DV-CCMS:,177781,1,1220892,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CONNECTIONS FOR ABUSED WOMEN & THEIR CHILDREN,99762816V,PO BOX 477916,,CHICAGO,IL,60620,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E0AE2A88-0000-C51F-9D3D-C5E6118C9562}
7451,DFSS-CDBG-DV-CCMS:,177783,1,1220892,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,MUJERES LATINAS EN ACCION,23296996L,2823 W 17TH ST,,CHICAGO,IL,60608,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30605887-0000-CF1B-B4E7-87447DC0C24C}
7452,DFSS-ARP-DV-EFA:,197272,1,1243429,DELEGATE AGENCY,06/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,NETWORK ADVOCATING AGAINST DOMESTIC VIOLENCE,105462897V,WOMENS NETWORK      (EFT),1 E WACKER DR STE 1630,CHICAGO,IL,60601,"$1,000,000.00",,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={60842D86-0000-C312-BE3E-E59CE1136AE6}
7453,DFSS-CDBG-DV-CCMS:,177785,1,1220892,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,BETWEEN FRIENDS,85244322M,2301 W HOWARD ST FL 1ST,,CHICAGO,IL,60645,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0BF0A87-0000-CD1E-93D0-2152562E1514}
7454,DFSS-CORP-DV-CCMS:,177757,1,1220892,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,SWEDISH COVENANT HOSPITALLABDEPARTMENT LAB DEPARTMENT,15809281H,5145 N CALIFORNIA AVE STE 645,,CHICAGO,IL,60625,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B070DC86-0000-C511-BE39-F41380E4AF5F}
7455,DFSS-CORP-HS-LSFUC:,177980,1,1238337,DELEGATE AGENCY,01/01/2021,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,TRAVELERS & IMMIGRANTS AID'S HEARTLAND ALLIANCE FOR HUMAN NEEDS & HUMAN RIGHTS,105470384M,33 W GRAND AVE,,CHICAGO,IL,60654,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F050DD87-0000-C41F-87DF-62CFAE0CF852}
7456,DFSS-CORP-HS-LPF:,177930,1,1238286,DELEGATE AGENCY,01/01/2021,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,TRAVELERS & IMMIGRANTS AID'S HEARTLAND ALLIANCE FOR HUMAN NEEDS & HUMAN RIGHTS,105470384M,33 W GRAND AVE,,CHICAGO,IL,60654,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={803E9F87-0000-C717-AD5F-630D69854CFC}
7457,DFSS-CDBG-DV-CCMS:,177755,1,1220892,DELEGATE AGENCY,01/01/2022,12/31/2023,01/25/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,POLISH/AMERICAN ASSOCIATION,3711832T,3834 N CICERO AVE FL 1ST,,CHICAGO,IL,60641,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90A96B87-0000-C811-89D4-4A99AC28FE61}
7458,DFSS-CORP-WS-EPPP:,177401,1,1237958,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,CATHOLIC BISHOP OF CHICAGO - ST. SABINA CHURCH,102489050V,ST. PIUS V PARISH/HOPE,1919 S ASHLAND AVE,CHICAGO,IL,60608,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E03D8486-0000-CC1F-9B90-4A17DF02C542}
7459,DFSS-IDHS-HL-SOES:,174906,1,1236107,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,THRESHOLDS,93347425L,4101 N RAVENSWOOD AVENUE EFT,,CHICAGO,IL,60613,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F0A7F988-0000-C618-8481-4E3EBE27353D}
7460,DFSS-CDBG-WS-ISTPP:,177229,1,1237847,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,POLISH/AMERICAN ASSOCIATION,3711832T,3834 N CICERO AVE FL 1ST,,CHICAGO,IL,60641,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={100F8486-0000-CD1E-A8BB-401B3556599D}
7461,DFSS-CDBG-WS-ISTPP:,177233,1,1237847,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,PODER LEARNING CENTER,105473096E,6155 S PULASKI RD,,CHICAGO,IL,60629,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={F0817F86-0000-C51E-909C-69847123EB11}
7462,DFSS-CDBG-WS-EPPP:,177388,1,1237958,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,ST. LEONARD'S MINISTRIES|CLEANED-UP,33705654T,2100 W WARREN BOULEVARD EFT,,CHICAGO,IL,60612,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={409A7F86-0000-CD12-939E-52261B6D2B70}
7463,DFSS-CDBG-WS-EPPP:,177374,1,1237958,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,NORTH LAWNDALE EMPLOYMENT NETWORK,99253742M,3726 W FLOURNOY STREET EFT,,CHICAGO,IL,60624,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E01D9E86-0000-CE1E-A4C3-F557FEF1ADA6}
7464,DFSS-CDBG-DV-LSFVDV:,176409,1,1237196,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,ASCEND JUSTICE,105477271H,555 W HARRISON ST,,CHICAGO,IL,60607,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={30323387-0000-C619-BBC0-2DB21724F164}
7465,DFSS-CORP-WS-EPPP:,177406,1,1237958,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,HOPE CENTER FOUNDATION,105479584M,10909 S COTTAGE GROVE AVE,,CHICAGO,IL,60628,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E04C8087-0000-CC1B-937C-B2A9B6009ECD}
7466,DFSS-CDBG-HL-SOES:,174904,1,1236107,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,SALVATION ARMY FAMILY & COMMUNITY SERVICES,25964717T,4800 N MARINE DR,STE 6,CHICAGO,IL,60630-2740,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={80AB6B87-0000-CE16-B07A-4C41E99B26A3}
7467,DFSS-CORP-HL-BSO:,174895,1,1236107,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,MCDERMOTT CENTER|CLEANED-UP,87075014A,120 N SANGAMON EFT,,CHICAGO,IL,60607,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90CCBE87-0000-CF15-9859-C744AB4DC5C9}
7468,DFSS-ARP-YS-SCAN:,177113,1,1237770,DELEGATE AGENCY,02/25/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,UNIVERSAL FAMILY CONNECTION INC,3750627Z,1350 W 103RD ST,,CHICAGO,IL,60643,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={E0A1A986-0000-CC11-AD24-697FB5A0C80E}
7469,DFSS-ARP-YS-SCAN:,177111,1,1237770,DELEGATE AGENCY,02/25/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,LAWRENCE HALL SCHOOL FOR BOYS,9004844V,FOR BOYS,4833 N FRANCISCO AVE,CHICAGO,IL,60625,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={90489F86-0000-CB19-9808-462EEBD86947}
7470,DFSS-CORP-HL-PBTH:,175237,1,1236413,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,"LA CASA NORTE, INC",48367455P,3533 W NORTH AVE,,CHICAGO,IL,60647,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={10DB9987-0000-CF11-B2F2-DACC85D372AC}
7471,DFSS-CDBG-WS-EPPP:,177389,1,1237958,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,INNER VOICE INC.,6231926M,1621 W WALNUT ST FL 1ST,,CHICAGO,IL,60612,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B0A36086-0000-C619-A5B8-4621F973E21E}
7472,DFSS-CDBG-HL-SOES:,174892,1,1236107,DELEGATE AGENCY,01/01/2022,12/31/2023,01/24/2023,DEPARTMENT OF FAMILY AND SUPPORT SERVICES,LINCOLN PARK COMMUNITY SERVICES,102495601V,600 W FULLERTON PKWY,,CHICAGO,IL,60614,$0.00,,http://ecm.cityofchicago.org/eSMARTContracts/service/DPSWebDocumentViewer?sid=ESMART&id={B05E8087-0000-C91E-B265-034A4C679BA2}
